RMSD(ArbAlign),nameA,nameB,reflect,swap
2.4695635056445164,1ln1_DLP,1ln1_DLP_model_18_chainB_pH74,"(-1, -1, -1)","(0, 2, 1)"
2.931901421728253,1ln1_DLP,1ln1_DLP_model_19_chainB_pH74,"(1, 1, -1)","(1, 0, 2)"
3.34549698486482,1ln1_DLP,1ln1_DLP_model_20_chainB_pH74,"(-1, -1, 1)","(2, 0, 1)"
3.228635053713009,1ln1_DLP,1ln1_DLP_model_21_chainB_pH74,"(-1, 1, -1)","(0, 1, 2)"
3.2111637056177385,1ln1_DLP,1ln1_DLP_model_22_chainB_pH74,"(-1, 1, 1)","(1, 0, 2)"
3.543211790617414,1ln1_DLP,1ln1_DLP_model_23_chainB_pH74,"(-1, 1, -1)","(0, 1, 2)"
2.39765923790914,1ln1_DLP,1ln1_DLP_model_24_chainB_pH74,"(-1, 1, -1)","(2, 0, 1)"
3.0980909587460688,1ln1_DLP,1ln1_DLP_model_25_chainB_pH74,"(1, -1, 1)","(2, 1, 0)"
2.919697790213364,1ln1_DLP,1ln1_DLP_model_26_chainB_pH74,"(1, -1, -1)","(0, 1, 2)"
3.6690882060398233,1ln1_DLP,1ln1_DLP_model_27_chainB_pH74,"(-1, 1, -1)","(2, 1, 0)"
3.442297608422885,1ln1_DLP,1ln1_DLP_model_28_chainB_pH74,"(1, -1, -1)","(1, 0, 2)"
3.449954187018697,1ln1_DLP,1ln1_DLP_model_29_chainB_pH74,"(-1, 1, 1)","(0, 2, 1)"
2.327652470461604,1ln1_DLP,1ln1_DLP_model_30_chainB_pH74,"(-1, -1, -1)","(1, 0, 2)"
3.013057189903013,1ln1_DLP,1ln1_DLP_model_31_chainB_pH74,"(-1, -1, -1)","(2, 1, 0)"
3.6627254074772635,1ln1_DLP,1ln1_DLP_model_32_chainB_pH74,"(1, 1, -1)","(1, 2, 0)"
2.7783626339999756,1ln1_DLP,1ln1_DLP_model_33_chainB_pH74,"(-1, 1, -1)","(0, 1, 2)"
1.6842894670560846,1ln1_DLP,1ln1_DLP_model_34_chainB_pH74,"(-1, 1, 1)","(2, 1, 0)"
3.838022042378558,1ln1_DLP,1ln1_DLP_model_35_chainB_pH74,"(-1, -1, -1)","(1, 0, 2)"
3.5085295064299453,1ln1_DLP,1ln1_DLP_model_36_chainB_pH74,"(-1, 1, 1)","(2, 1, 0)"
2.817154260399917,1ln1_DLP,1ln1_DLP_model_37_chainB_pH74,"(1, 1, -1)","(0, 2, 1)"
3.035090779623877,1ln1_DLP,1ln1_DLP_model_38_chainB_pH74,"(-1, 1, 1)","(0, 2, 1)"
2.845834033848616,1ln1_DLP,1ln1_DLP_model_39_chainB_pH74,"(1, -1, -1)","(2, 0, 1)"
2.9476872627463178,1ln1_DLP,1ln1_DLP_model_40_chainB_pH74,"(-1, -1, 1)","(2, 0, 1)"
3.515161061532731,1ln1_DLP,1ln1_DLP_model_41_chainB_pH74,"(-1, -1, 1)","(1, 0, 2)"
3.5283722149317045,1ln1_DLP,1ln1_DLP_model_42_chainB_pH74,"(1, 1, -1)","(1, 0, 2)"
3.016005689697657,1ln1_DLP,1ln1_DLP_model_43_chainB_pH74,"(1, -1, -1)","(2, 0, 1)"
2.316667550264057,1ln1_DLP,1ln1_DLP_model_44_chainB_pH74,"(1, -1, 1)","(2, 1, 0)"
2.85512556654518,1ln1_DLP,1ln1_DLP_model_45_chainB_pH74,"(-1, -1, 1)","(1, 2, 0)"
2.2376062698991106,1ln1_DLP,1ln1_DLP_model_46_chainB_pH74,"(1, -1, -1)","(2, 0, 1)"
3.2263251093171195,1ln1_DLP,1ln1_DLP_model_47_chainB_pH74,"(1, -1, -1)","(0, 1, 2)"
3.3300809012997648,1ln1_DLP,1ln1_DLP_model_48_chainB_pH74,"(-1, 1, 1)","(0, 2, 1)"
3.440709822010381,1ln1_DLP,1ln1_DLP_model_49_chainB_pH74,"(-1, 1, 1)","(1, 0, 2)"
