RMSD(ArbAlign),nameA,nameB,reflect,swap,BCI (%),mismatched bond indices
1.5578915055946072,5bvs_EIC,5bvs_EIC_model_39_chainB_pH74,"(1, 1, -1)","(2, 0, 1)",26.31578947368421,"[(0, 1), (2, 3), (4, 5), (5, 6), (7, 8)]"
1.4636937340280054,5bvs_EIC,5bvs_EIC_model_40_chainB_pH74,"(1, -1, -1)","(0, 2, 1)",21.052631578947366,"[(0, 18), (0, 19), (1, 2), (2, 3)]"
1.2435134673213952,5bvs_EIC,5bvs_EIC_model_41_chainB_pH74,"(-1, -1, 1)","(0, 1, 2)",15.789473684210526,"[(0, 18), (0, 19), (1, 2)]"
1.3512493688416534,5bvs_EIC,5bvs_EIC_model_42_chainB_pH74,"(-1, 1, 1)","(1, 2, 0)",0.0,[]
1.6605529977733549,5bvs_EIC,5bvs_EIC_model_43_chainB_pH74,"(-1, 1, 1)","(0, 1, 2)",36.84210526315789,"[(1, 2), (2, 3), (4, 5), (8, 9), (10, 11), (11, 12), (13, 14)]"
1.4777359330988324,5bvs_EIC,5bvs_EIC_model_44_chainB_pH74,"(-1, -1, 1)","(2, 0, 1)",42.10526315789473,"[(0, 18), (0, 19), (1, 2), (2, 3), (4, 5), (13, 14), (14, 15), (16, 17)]"
1.6226839949371434,5bvs_EIC,5bvs_EIC_model_45_chainB_pH74,"(-1, -1, -1)","(1, 0, 2)",47.368421052631575,"[(0, 1), (1, 2), (3, 4), (7, 8), (9, 10), (10, 11), (12, 13), (14, 15), (15, 16)]"
1.6002380290436986,5bvs_EIC,5bvs_EIC_model_46_chainB_pH74,"(-1, 1, 1)","(0, 1, 2)",52.63157894736842,"[(0, 18), (0, 19), (1, 2), (2, 3), (4, 5), (5, 6), (7, 8), (12, 13), (13, 14), (16, 17)]"
1.485623008296939,5bvs_EIC,5bvs_EIC_model_47_chainB_pH74,"(-1, -1, -1)","(1, 2, 0)",52.63157894736842,"[(0, 18), (0, 19), (1, 2), (2, 3), (4, 5), (6, 7), (8, 9), (13, 14), (14, 15), (16, 17)]"
1.3635493013571454,5bvs_EIC,5bvs_EIC_model_48_chainB_pH74,"(1, -1, -1)","(0, 2, 1)",0.0,[]
1.4348016102887504,5bvs_EIC,5bvs_EIC_model_49_chainB_pH74,"(1, 1, 1)","(1, 2, 0)",47.368421052631575,"[(0, 1), (1, 2), (3, 4), (4, 5), (7, 8), (9, 10), (10, 11), (11, 12), (13, 14)]"
